observed_docking_score,averaged_predicted_docking_score,belongs_to_lowest_10_percent
-3.871,-5.734718083158004,0
-6.708,-6.27884096541179,0
-4.674,-5.770469806861384,0
-7.134,-5.679823971429692,0
-5.326,-5.846568640184858,0
-5.417,-5.752923501753572,0
-5.281,-5.95351236967331,0
-6.198,-5.976656060825848,0
-4.522,-5.985052258383774,0
-7.253,-5.799798606311266,0
-3.034,-5.634602928016548,0
-6.569,-5.503332334251996,0
-3.083,-5.396007544591872,0
-0.357,-6.016612304992676,0
-4.654,-5.353502702159611,0
-7.558,-5.567703048740912,1
-5.528,-6.034103626721109,0
-5.445,-5.912557892374872,0
-8.036,-6.048168158905654,1
-6.847,-5.880969611991986,0
-7.54,-6.095827780469413,0
-6.931,-6.02835712909131,0
-6.728,-5.78888328306784,0
-8.138,-6.168048450846893,1
-6.896,-5.942606586615243,0
-6.351,-6.125123295724276,0
-6.689,-6.4793171662518185,0
-3.689,-6.429286248576331,0
-7.496,-5.445902027827025,0
-5.252,-5.500759559625394,0
-6.877,-5.861668454490433,0
-4.701,-5.4551158440854515,0
-6.308,-5.818717575660387,0
-4.766,-5.609826119909864,0
-6.706,-5.674838628363747,0
-8.33,-5.714621511236236,1
-6.858,-5.951996686076883,0
-7.362,-6.017997079977095,0
-4.934,-5.748678754178019,0
-6.761,-5.564268635750898,0
-9.193,-6.321215295341331,1
-4.016,-5.446111806403272,0
-8.179,-5.942130622415011,1
-4.103,-5.93639042225844,0
-7.734,-5.724135242268113,1
-6.483,-6.025099351999531,0
-6.098,-5.48134359674162,0
-5.865,-5.574647359567747,0
-4.881,-5.606435939872565,0
-8.469,-5.829989943493158,1
-3.776,-5.626311325517121,0
-6.311,-5.912240612467667,0
-7.402,-6.038779258446602,0
-3.453,-5.543334092586266,0
-4.176,-6.035141448916965,0
-4.369,-6.1655224307425875,0
-6.934,-5.303582648468205,0
-4.311,-5.923417419294021,0
-8.093,-6.028738153096858,1
-5.84,-6.0360752518463086,0
-5.217,-5.984412339461428,0
-4.657,-5.872541968125397,0
-7.084,-5.910828054130628,0
-6.012,-5.890505827819503,0
-3.481,-5.841934125066535,0
-6.526,-6.144101355701626,0
-4.521,-5.932214930552096,0
-5.215,-5.6559953163498,0
-7.797,-5.874237681338783,1
-4.509,-5.7846582096726955,0
-4.333,-5.692785195767079,0
-6.623,-5.565316724510099,0
-6.79,-6.072724176336654,0
-5.812,-5.747797414583934,0
-6.486,-6.09946391225869,0
-5.577,-5.810054170192166,0
-7.573,-5.698371407161214,1
-3.747,-6.101185610854923,0
-4.488,-5.850398716106838,0
-5.898,-5.489775077166898,0
-4.476,-5.5791193082546515,0
-5.848,-6.063733946437627,0
-7.231,-5.888089352970448,0
-6.822,-5.98637916877014,0
-7.207,-6.068448451089878,0
-4.79,-6.095887045275575,0
-8.05,-6.021864541966459,1
-5.766,-5.759222648108527,0
-6.094,-5.3578077896341,0
-6.033,-5.868232364672526,0
-5.915,-6.084527912156144,0
-5.893,-5.259693938786793,0
-6.007,-5.171747769451672,0
-6.671,-5.955320822356442,0
-5.299,-5.876789932457072,0
-2.965,-6.05331325697419,0
-4.88,-5.759055323216589,0
-8.181,-6.490340955058947,1
-4.657,-6.166202776024719,0
-5.355,-5.621028256664789,0
-6.533,-5.888262601385433,0
-3.529,-5.840887642434651,0
-5.098,-5.991071882160361,0
-5.637,-5.999829486051641,0
-7.36,-5.970984835331085,0
-7.29,-6.403951262233961,0
-7.663,-6.120524781076011,1
-5.998,-5.555376350090176,0
-6.961,-5.957685639605148,0
-5.934,-5.968662620923393,0
-7.194,-5.685653449666234,0
-5.012,-5.558669459410932,0
-6.344,-5.740974614006091,0
-6.775,-5.629003637106913,0
-6.807,-5.863803185537733,0
-7.023,-6.299574039797196,0
-6.159,-5.6271887517995625,0
-3.252,-5.8735333604291435,0
-6.824,-5.771466910217493,0
-5.347,-5.912176374318069,0
-5.523,-6.0360402950837395,0
-3.658,-5.5735324025200415,0
-6.363,-6.100615461972175,0
-4.202,-5.670472342328972,0
-6.125,-5.693904718259822,0
-7.663,-6.146879951113185,1
-5.631,-5.856852447164067,0
-5.191,-5.828363731275882,0
-7.861,-6.3770209004931955,1
-5.614,-5.667747241430949,0
-6.891,-5.615346447307793,0
-5.456,-5.951506973666816,0
-5.813,-5.89004333855305,0
-5.774,-5.964912716193034,0
-6.529,-6.238507216524698,0
-6.247,-5.843461330302676,0
-5.673,-5.730022995242776,0
-5.965,-6.090588928453669,0
-7.117,-6.071029931097253,0
-4.732,-6.002716069371078,0
-6.853,-5.707842936368546,0
-4.601,-5.704889546347081,0
-8.009,-6.09136449621726,1
-5.086,-5.8018965682685835,0
-4.79,-5.4191529747547635,0
-5.548,-5.926526928791592,0
-4.965,-5.53761105257536,0
-5.63,-5.84687678251399,0
-4.157,-5.470286965272473,0
-9.046,-6.051663956595389,1
-6.42,-5.869689703607265,0
-1.962,-5.6195630726739605,0
-8.012,-5.259847328213237,1
-6.028,-5.736932910517856,0
-6.937,-5.461764290338215,0
-6.098,-5.783105473995626,0
-5.546,-5.9820362235414954,0
-6.572,-5.897153285326706,0
-5.231,-5.979973491054912,0
-6.008,-5.708573245537043,0
-8.165,-6.095237756699357,1
-4.252,-5.812983578493593,0
-6.273,-6.019891789527852,0
-3.458,-5.907645594064674,0
-7.415,-5.588219535038462,0
-4.726,-5.9522584222398836,0
-3.628,-5.597124077510879,0
-7.376,-6.216405375960889,0
-6.207,-5.93316159145006,0
-6.651,-6.023082064848327,0
-8.575,-5.81825107625712,1
-6.893,-5.616912003173589,0
-6.332,-5.800832873026794,0
-3.949,-5.934644093680307,0
-6.993,-6.053939481244037,0
-6.492,-5.595468864068989,0
-3.926,-5.627823035890123,0
-6.046,-5.540360609746282,0
-6.693,-6.279889039324136,0
-6.222,-6.077428796248878,0
-6.834,-5.526389883547092,0
-6.956,-5.595737915672321,0
-6.669,-5.769225277703577,0
-6.108,-5.909755599009327,0
-4.619,-6.134865708952928,0
-4.157,-5.426835802562383,0
-7.551,-6.165793259345762,0
-7.234,-5.370041267925987,0
-7.116,-6.016198956417028,0
-6.122,-5.883937565305401,0
-5.605,-5.715186814674742,0
-2.225,-5.982967204290888,0
-2.965,-5.4915826310045235,0
-5.558,-5.965956838897011,0
-5.022,-5.530487001028915,0
-5.903,-6.193911399271429,0
-4.333,-5.6481727623287385,0
-5.984,-5.814387618889796,0
-5.972,-5.67748966512305,0
-5.439,-5.738738050846149,0
-4.194,-5.94903255886644,0
-4.564,-5.356962830812682,0
-6.986,-5.826566408337612,0
-9.143,-5.785629695966763,1
-4.98,-5.48785404887951,0
-7.9,-5.7474122706052,1
-7.486,-6.030455118773489,0
-7.596,-5.91154652796563,1
-4.724,-5.992116483197818,0
-6.467,-5.821978150182118,0
-3.326,-5.61718981681784,0
-7.053,-5.590750165634475,0
-7.067,-5.829107843322448,0
-4.63,-5.9025162464851455,0
-5.129,-6.069522369019384,0
-6.776,-5.972081801588117,0
-6.34,-5.838557414723772,0
-5.282,-5.645128454558529,0
-6.272,-5.830534952483739,0
-6.842,-5.909364147665017,0
-5.259,-5.629815593824893,0
-7.196,-5.884001161028847,0
-6.741,-5.654304676759493,0
-6.52,-6.0723923164591,0
-5.984,-5.72212513394854,0
-4.446,-5.834293081219286,0
-6.004,-5.732381447733722,0
-5.464,-5.889918628594478,0
-7.517,-6.153253752691391,0
-5.569,-6.131981617214723,0
-6.683,-5.676585477549705,0
-4.484,-5.607408276905099,0
-4.709,-5.373053400968697,0
-5.98,-5.635839729467602,0
-6.201,-6.107175108390368,0
-5.507,-5.597629858011141,0
-7.506,-5.399469992845235,0
-9.595,-5.493937188795219,1
-2.6,-5.650153424678632,0
-5.05,-5.567850756669863,0
-4.767,-5.745517589330015,0
-6.619,-6.044883974433983,0
-5.842,-6.202912428534313,0
-6.381,-5.610709980453037,0
-5.467,-5.765605648439864,0
-3.995,-5.186501887393422,0
-6.882,-6.088196531869735,0
-5.75,-6.01189811436103,0
-5.904,-5.914296210828448,0
-6.546,-6.264538384150036,0
-5.169,-5.495596089249327,0
-6.433,-6.072926880977411,0
-6.112,-6.016473031449088,0
-7.775,-6.087484025553961,1
-5.999,-5.8562808723602,0
-6.476,-5.353739851496232,0
-6.457,-5.9413569829277995,0
-5.537,-5.728805177421951,0
-7.049,-5.455042854331545,0
-7.872,-6.017802303554658,1
-6.531,-5.350814023451326,0
-4.746,-5.365499935297172,0
-6.099,-6.171439405743373,0
-8.532,-5.899306202783887,1
-6.446,-6.179491588028155,0
-3.506,-5.880018198116123,0
-7.015,-5.672302267622134,0
-2.515,-5.631703916863271,0
-4.385,-5.593040489399027,0
-3.882,-5.910678291664868,0
-9.052,-5.905582484267338,1
-2.947,-5.297252962091862,0
-6.267,-5.884751165208596,0
-5.455,-5.680806634234207,0
-3.754,-6.271987810074751,0
-3.696,-5.819197403190429,0
-6.405,-6.103951096184415,0
-5.447,-5.717418327775267,0
-5.891,-6.189303775116276,0
-7.009,-6.075316728899294,0
-6.15,-5.958913242517338,0
-5.45,-5.588629180919751,0
-6.321,-6.136085784498366,0
-6.816,-5.764894202839721,0
-8.357,-5.966393782966487,1
-7.938,-6.115522277363478,1
-5.481,-5.40454368198182,0
-7.939,-6.159388835352735,1
-6.959,-5.860260518491897,0
-6.609,-5.992002065613004,0
-6.87,-6.14110424054762,0
-7.004,-5.767632110244543,0
-3.205,-6.215407163405491,0
-8.167,-5.798715144371523,1
-3.328,-5.926014486545821,0
-7.406,-6.0002784465175525,0
-8.083,-5.8885255952562625,1
-4.478,-6.010897619428535,0
-5.024,-6.104540641301869,0
-2.508,-5.931509679931779,0
-6.157,-5.687777687621034,0
-5.645,-5.953714971836562,0
-5.931,-6.1886927731481425,0
-5.141,-5.3867136161982145,0
-7.078,-5.922773806943762,0
-5.298,-5.992613588461991,0
-5.658,-6.086460070543164,0
-8.314,-5.823902922847769,1
-7.059,-6.1432736798655565,0
-3.342,-6.419973097163536,0
-7.239,-6.118444896171896,0
-6.662,-6.443255385774361,0
-5.729,-5.6675227690834715,0
-5.786,-5.714206627356335,0
-7.223,-5.864956270602505,0
-6.061,-5.655054906259365,0
-6.542,-6.06413421602201,0
-3.743,-5.462322932898343,0
-3.421,-5.586824660997843,0
-6.83,-5.612344925666679,0
-5.088,-5.689922912162349,0
-4.865,-5.5995466177962605,0
-2.469,-5.940033710164031,0
-4.122,-5.818405533478229,0
-5.257,-6.335294483000444,0
-4.435,-5.56314061593583,0
-3.714,-5.479465095524102,0
-6.645,-5.701960787932079,0
-7.859,-6.2191770778747495,1
-7.097,-6.376133103602255,0
-6.216,-5.677265545980369,0
-6.842,-6.017617621368708,0
-6.208,-5.3469307400709365,0
-7.395,-6.145315188022182,0
-5.396,-5.56225646827657,0
-6.479,-5.68460448254307,0
-6.145,-6.203099446450076,0
-6.205,-5.876104843519192,0
-6.964,-5.8507150017876715,0
-7.726,-6.027128271868119,1
