observed_docking_score,averaged_predicted_docking_score,belongs_to_lowest_10_percent
-5.367,-4.035982306711252,0
-7.428,-5.916439074398972,0
-8.203,-5.579915324691644,1
-6.09,-5.895841511065632,0
-5.313,-6.039858771932157,0
-7.888,-6.009442061597025,1
-4.526,-5.887942050661514,0
-4.53,-5.771342863556376,0
-5.159,-5.938457489286295,0
-5.819,-5.349785663739201,0
-6.86,-6.064752967354925,0
-6.707,-5.89372089481233,0
-5.533,-5.899658431816693,0
-4.458,-6.160142277220867,0
-0.115,-5.980726088658243,0
-6.096,-6.110874997704226,0
-5.23,-5.446488237359284,0
-3.96,-5.719683799706181,0
-5.697,-5.909912500222704,0
-5.958,-5.773281745111223,0
-4.607,-5.904949053246052,0
-8.129,-5.511402270220196,1
-5.398,-5.279568195439107,0
-4.142,-5.57216796295697,0
-5.156,-5.904205971778738,0
-6.484,-5.768682869456125,0
-3.878,-5.821861204136338,0
-7.72,-5.971015540604907,1
-6.422,-5.928102570806008,0
-5.483,-5.413808802466452,0
-5.306,-5.74999467318074,0
-4.984,-5.694123007423216,0
-6.642,-5.909093983917147,0
-1.054,-5.8809677918424175,0
-5.136,-6.019711123577029,0
-6.166,-6.065867653721558,0
-5.789,-5.993092894006677,0
-6.815,-5.62862151180589,0
-7.254,-5.641138773868008,0
-7.298,-5.902850339090504,0
-2.274,-5.4068843707793395,0
-5.061,-5.929911569797789,0
-4.578,-5.989106952782855,0
-7.082,-6.121298479891364,0
-3.557,-5.882863577581334,0
-4.99,-5.728981186999254,0
-7.091,-5.9206482583329105,0
-3.786,-5.923041098207507,0
-6.777,-5.970856651973903,0
-6.461,-5.925727531962474,0
-7.346,-5.834910087896671,0
-1.141,-5.86835136847833,0
-6.563,-5.865317665708712,0
-4.547,-5.629572964346618,0
-6.18,-5.9457429163283315,0
-6.213,-5.823508825513,0
-7.072,-5.990627414887545,0
-7.416,-5.2781244863032715,0
-5.073,-5.928428425667072,0
-4.672,-6.185290971653284,0
-3.415,-5.902142666316767,0
-5.682,-5.377742126686216,0
-7.109,-5.3781347466296285,0
-7.402,-5.983463310578427,0
-5.443,-5.958689307672493,0
-6.943,-5.677633797641291,0
-7.878,-5.672396960874719,1
-4.41,-5.771678947323931,0
-6.784,-5.973498519639229,0
-6.146,-5.931638270022381,0
-6.51,-6.119151646220261,0
-4.091,-5.867732370326936,0
-8.286,-5.85864017153481,1
-6.933,-5.970031304059318,0
-6.396,-5.87427092361866,0
-4.379,-5.877095403413397,0
-7.404,-5.929080100389215,0
-5.584,-6.167619764575137,0
-5.353,-5.8612074749801755,0
-5.3,-5.986855488882298,0
-7.086,-5.955653003661998,0
-6.613,-6.052053559681435,0
-3.42,-5.311653559313433,0
-7.58,-5.940909338770941,1
-7.901,-5.423174083073641,1
-5.855,-5.887163492363063,0
-6.522,-5.984193758252717,0
-6.555,-5.90564348451612,0
-2.641,-5.80746952468172,0
-6.5,-5.389454224894288,0
-7.244,-5.830329287105278,0
-4.052,-5.802828269891711,0
-7.412,-6.189526259891444,0
-6.543,-6.10736622961,0
-2.831,-5.820775081452896,0
-6.141,-6.164132830942725,0
-7.39,-6.10617231421447,0
-7.307,-5.277480119529461,0
