observed_response_value,average_of_predicted_response_values,standard_deviation_of_predicted_response_values
0.020374779,0.3340669119163285,0.9965869529037895
0.39160165,0.2224348990609078,0.982023695763793
0.016383063,0.24864351606460408,0.9774954199637755
0.3077763,0.39734141913261833,0.9989773982802114
1.2092321,0.24218807827463634,0.988821243344088
0.09887797,0.1164752241531561,0.9722751337088686
-0.18719278,0.31173541672508687,0.9688034907128776
-0.8963824,0.16876717919530018,0.9610012427815806
-0.3561743,0.32591756439757796,0.9734372373135739
-1.1711435,0.07435638947906999,0.9880207973464046
-0.3362157,0.30272339950970434,0.9845061893056632
0.14544775,0.21580222334685115,0.9818182734150613
0.54860806,0.3642596827256399,0.9694548732444653
-0.2943032,0.08278329852417234,0.9768675250440191
0.7495229,0.28579515559472024,0.9533329626447457
0.42087412,0.3843512702709127,0.9890921673448141
-0.9855299,0.2765223788121673,0.9867712947512309
-0.18852325,0.04781593634119262,0.9704869575944627
0.3204167,0.2937317215928267,0.9663334401250189
0.05164326,0.275132360815879,0.9590062399105265
1.6975484,0.3921406551172065,0.957470159132636
0.57921094,0.28070524859792556,0.9784756399740981
0.9018724,0.32851375169552116,0.9702234074282065
-0.004905656,0.2520249177687281,0.9878431291086732
1.5857812,0.2991847144817518,0.9811398698152646
0.54727757,0.22192633868996592,0.9871296930560681
-0.5990017,0.20623998229919174,0.9617815712256182
-1.560333,0.23688888288723386,0.9717442990790673
0.68099886,0.29398302595696885,0.9728036801265205
0.27916938,0.28476663334832275,0.9715411260313598
-0.3415379,0.2058658496790227,0.985959192184833
2.0235362,0.216010174203963,0.9738174196935281
2.0188792,0.2939572626095792,0.9655030243452056
0.9584213,0.4112341548953122,0.9756640305108897
-0.5783779,0.27093931125530757,0.9957586778104158
0.7521842,0.2622884989997783,0.9635246125246165
0.0070691695,0.26739062517241863,0.9979521348363809
-0.65887713,0.25075991891007116,0.9668881908228957
-0.25438604,0.2548490066252325,0.9729662497001577
0.082911424,0.20891920192112767,0.9748190381193501
-0.09604922,0.38829178336986964,0.9865810794471329
0.68232965,0.265140966363925,0.9693301229227355
-0.5557584,0.3610842438921531,0.9674343632335262
-0.33754617,0.26240610857918445,0.9614046899295003
0.44881582,0.28976094923726725,0.9519455770846021
